Reservoir,Campaign,In_situ,C2RCC,C2X,C2XC
Acebo,Summer 2017,3,4.01,29.47,90.36
Acebo,Autumn 2022,11.5,9.34,34.61,315.44
Aguijón,Autumn 2021,44.26,40.21,453.13,1433.5
Aguijón,Summer 2022,20.76,7.99,130.47,634.18
Aguijón,Autumn 2022,166.96,113.53,1653.4,5269.59
Alcuéscar,Summer 2021,26.89,17.17,251.81,527.24
Alcuéscar,Autumn 2021,20.94,27.44,657.33,643.91
Aldea del Cano,Summer 2021,82.09,68.13,1161.81,1765.01
Aldea del Cano,Autumn 2021,63.78,7.87,22.31,170.65
Aldea del Cano,Summer 2022,91.02,144.75,992.44,1722.99
Aldea del Cano,Autumn 2022,46.81,53.98,437.6,1389.48
Aliseda,Autumn 2021,8.64,9.94,153.52,278.76
Aliseda,Autumn 2022,14.32,22.14,205.38,392.27
Alpotrel,Autumn 2020,25,38.13,137.3,812.03
Alpotrel,Autumn 2021,10.4,7.34,53.34,215.2
Alpotrel,Autumn 2022,18.13,23.61,55.38,538.77
Arrocerezal,Autumn 2021,6.69,10.14,53.94,30.11
Arrocerezal,Autumn 2022,18.95,19.84,66.07,318.05
Brozas,Autumn 2020,36.57,64.3,100.08,347.22
Brozas,Summer 2021,50.1,71.93,181.57,683.96
Brozas,Autumn 2021,113.38,143.68,728.36,1365.57
Brozas,Summer 2022,44.79,77.44,187.29,1013.11
Burguillos del Cerro,Autumn 2020,14.88,18.96,274.42,454.03
Burguillos del Cerro,Summer 2021,88.95,111.24,936.83,1542.58
Burguillos del Cerro,Summer 2022,61.64,65.84,426.5,977.25
Burguillos del Cerro,Autumn 2022,201.1,133.53,6957.76,6272.89
Cantalgallo,Autumn 2020,8.2,12.58,24.83,165.56
El Santo,Autumn 2020,9.77,13.99,55.33,111.91
El Santo,Autumn 2021,13.43,16.52,81.8,225.6
El Santo,Autumn 2022,62.78,99.68,193.1,1880.67
Garciaz,Autumn 2021,4.33,4.59,10.7,40.52
Garganta del Obispo,Autumn 2022,85.33,0.79,67.61,63.21
Hervás,Autumn 2021,12.93,13.58,347.93,390.31
Hervás,Autumn 2022,19.42,12.52,689.47,615.89
Jaime Ozores,Summer 2017,18,24.72,126.45,292.74
Jaime Ozores,Autumn 2017,74,98.39,887.81,2428.52
Jaime Ozores,Summer 2018,14,14.62,225.58,204.2
Jaime Ozores,Autumn 2018,39,31.54,684.48,1173.06
Jaime Ozores,Summer 2019,14.56,13.32,153.21,153.21
Jaime Ozores,Autumn 2020,35.68,37.34,139.34,808.85
Jaime Ozores,Summer 2021,43.74,30.98,533.84,1263.66
Jaime Ozores,Summer 2022,199.83,72.49,600.22,1164.89
Jaime Ozores,Autumn 2022,211.82,278.72,2782.4,1540.88
Llerena,Autumn 2020,44.85,41.01,83.61,496.88
Llerena,Autumn 2021,38.37,44.1,150.68,191.11
Llerena,Summer 2022,30.43,51.27,200.79,260.94
Llerena,Autumn 2022,147.12,154.34,1141.04,4408.35
Los Huertos,Autumn 2020,32.54,25.47,132.7,977.16
Los Huertos,Summer 2021,26.69,33.66,140.99,820.82
Madroñera,Summer 2021,3.57,1.88,8.33,40.88
Madroñera,Autumn 2021,13.12,7.81,16.7,46.29
Las Majadillas,Autumn 2020,5.16,3.15,40.75,162.18
Las Majadillas,Autumn 2021,2.78,0.56,14.48,86.44
Las Majadillas,Autumn 2022,25.99,20.14,66.17,790.17
Majarrobledo,Autumn 2021,2.27,2.69,26.71,54.24
Membrío,Autumn 2021,44.41,55.68,279.72,783.5
Navarredonda,Summer 2021,74.28,136.41,3885.49,5064.74
Navarredonda,Autumn 2021,164.61,209.85,2068.3,5224.71
Navas del Madroño,Autumn 2020,31.19,50.32,82.78,82.78
Navas del Madroño,Summer 2021,10.48,15.56,26.4,36.07
Navas del Madroño,Summer 2022,29.38,42.12,157.22,756.15
Nogales,Autumn 2021,26.83,36.26,235.41,744.11
Nogales,Summer 2022,96.46,92.96,2601.06,2601.06
Nogales,Autumn 2022,45.82,51.11,785.61,1530.71
Palomero,Autumn 2020,2.35,4.16,6.96,5.37
Palomero,Autumn 2021,18.75,29.78,79.91,86.79
Pretura del Molino,Autumn 2020,5.58,5.77,34.78,81.87
Pretura del Molino,Autumn 2021,7.14,3.62,63.84,163.84
Pretura del Molino,Autumn 2022,8.41,11.1,73.95,182.46
Ribera del Castaño,Autumn 2021,20.89,15.21,88.13,659.11
Rubiales,Autumn 2021,70.85,39.73,2069.98,2269.88
Rubiales,Summer 2022,47.49,29.97,925.43,1508.55
Rubiales,Autumn 2022,204.58,276.08,3213.58,6829
San Marcos,Autumn 2020,6.3,10.2,40.72,188.99
San Marcos,Summer 2021,18.88,45.45,277.17,720.25
San Marcos,Autumn 2021,27.73,14.49,247.43,584.97
San Marcos,Summer 2022,35.68,26.19,458.04,478.37
San Marcos,Autumn 2022,27.47,26.56,290.32,1129.55
Santa Lucía,Autumn 2020,4.22,7.88,6.27,93.21
Santa Lucía,Autumn 2021,10.39,7.79,31.68,211.51
Talaván,Summer 2017,10.8,15,19.17,32.96
Talaván,Autumn 2017,9,11.58,106.93,253.01
Talaván,Summer 2018,8,10.15,46.28,164.26
Talaván,Autumn 2018,32,49.25,128.34,971.75
Talaván,Summer 2019,3,3.76,17.24,90
Talaván,Autumn 2019,10,10.09,247.99,158.06
Talaván,Summer 2021,42.95,19.09,87.32,795.39
Talaván,Autumn 2021,35.06,41.69,92.97,192.94
Talaván,Summer 2022,72.17,74.49,565.79,2108.46
Talaván,Autumn 2022,45.02,65.13,540.44,381.99
Tres Torres,Summer 2021,76.19,51.69,1864.33,1437.82
Tres Torres,Autumn 2021,111.98,182.06,1243.25,3860.01
Tres Torres,Summer 2022,331.88,200.47,4352.99,8227.19
Tres Torres,Autumn 2022,278.23,316.16,6817.41,8263.18
